corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot	author_wikidata_id	work_wikidata_id
ELTeC-deu	DEU010	DEU010	Aston, Louise	Lydia	1814	1871	F	http://d-nb.info/gnd/118650769	1848	1848		1848			de	61819			medium	low	T1	Q67888	Q111239590
ELTeC-deu	DEU005	DEU005	Kurz, Hermann	Der Sonnenwirt	1813	1873	M	http://d-nb.info/gnd/118778277	1855	1855		1980			de	216063			long	high	T1	Q95193	Q111239469
ELTeC-deu	DEU033	DEU033	François, Louise von	Die Geschichte meines Urgroßvaters	1817	1893	F	http://d-nb.info/gnd/118692577	1855	1855		1918			de	37948			short	low	T2	Q84820	Q111239480
ELTeC-deu	DEU045	DEU045	Stifter, Adalbert	Witiko	1805	1868	M	http://d-nb.info/gnd/118618156	1855	1855		1959			de	337846			long	high	T2	Q168542	Q1725092
ELTeC-deu	DEU013	DEU013	Auerbach, Berthold	Barfüßele	1812	1882	M	http://d-nb.info/gnd/11865103X	1856	1856		1857			de	76008			medium	low	T1	Q76715	Q808120
ELTeC-deu	DEU024	DEU024	Gutzkow, Karl	Der Zauberer von Rom	1811	1878	M	http://d-nb.info/gnd/118543830	1861	1858–1861		1858–1861			de	894081			long	low	T1	Q76755	Q111239475
ELTeC-deu	DEU003	DEU003	Ruppius, Otto	Der Pedlar	1819	1864	M	http://d-nb.info/gnd/116708859	1859	1859		1910			de	89800			medium	low	T1	Q2040358	Q111239466
ELTeC-deu	DEU009	DEU009	Ruppius, Otto	Das Vermächtnis des Pedlars	1819	1864	M	http://d-nb.info/gnd/116708859	1859	1859					de	97300			medium	low	T1	Q2040358	Q111239454
ELTeC-deu	DEU039	DEU039	Spielhagen, Friedrich	Problematische Naturen. Erste Abtheilung	1823	1911	M	http://d-nb.info/gnd/118616196	1861	1861		1874			de	225971			long	low	T2	Q106603	Q111239603
ELTeC-deu	DEU047	DEU047	François, Louise von	Judith die Kluswirtin	1817	1893	F	http://d-nb.info/gnd/118692577	1862	1862		1918			de	54773			medium	low	T2	Q84820	Q111239573
ELTeC-deu	DEU042	DEU042	Möllhausen, Balduin	Die Mandanenwaise	1825	1905	M	http://d-nb.info/gnd/118784412	1865	1865		1865			de	223715			long	low	T2	Q99917	Q111239486
ELTeC-deu	DEU040	DEU040	Marlitt, Eugenie	Goldelse	1825	1887	F	http://d-nb.info/gnd/1014122880	1866	1866		1900			de	118440			long	high	T2	Q62950	Q93955765
ELTeC-deu	DEU050	DEU050	Raabe, Wilhelm	Abu Telfan oder Die Heimkehr vom Mondgebirge	1831	1910	M	http://d-nb.info/gnd/118692577	1867	1867		1964–1966			de	136330			long	unspecified	T2	Q84820	Q335418
ELTeC-deu	DEU041	DEU041	Marlitt, Eugenie	Das Geheimnis der alten Mamsell	1825	1887	F	http://d-nb.info/gnd/1014122880	1868	1868		1900			de	105854			long	low	T2	Q62950	Q89518165
ELTeC-deu	DEU043	DEU043	Spielhagen, Friedrich	Hammer und Amboß	1823	1911	M	http://d-nb.info/gnd/118616196	1869	1869		1874			de	324738			long	low	T2	Q106603	Q111239542
